problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-25--15-56.log-27,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,-0.253413995,0.8300084127,1.0632520095,-0.4068565625,-0.1832833419,-0.0320682308,0.022401615,0.9372741394,0.0354013416,-0.1444585767,-0.1469955721,0.7085619708,0.1428393326,0.956849521,0.0141979737,0
dibstudent03--2016-09-25--15-56.log-28,-0.2634135673,-0.3753098313,0.2859251136,-0.488242589,-0.2435689025,0.4895152056,1.0632520095,-0.4113364306,-0.1817495788,-0.190767135,0.0865165821,-1.1869082721,0.6883594209,-0.1444585767,-0.1530425831,-0.2836421386,-0.8412725695,-1.1503836119,0.0632992995,0
dibstudent03--2016-09-25--15-56.log-29,-0.4989636035,-0.3753098313,-0.2094252255,-0.488242589,-0.2336788164,0.9222298267,1.0632520095,-0.3677293646,-0.1804199685,-0.1114176829,0.1506315492,-1.1869082721,-0.6175567376,1.2973298607,-0.0962006804,0.7085619708,-0.3492166184,-1.1503836119,0.1124006253,1
dibstudent03--2016-09-25--15-56.log-3,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,-0.4313589614,-0.4127776659,-0.1105679236,-0.3972029748,-0.6575943279,-0.2106044981,-1.5163575949,0.9372741394,2.3207546189,-0.1444585767,-0.1465924381,-0.2836421386,-0.8412725695,0.956849521,-1.1642338455,0
dibstudent03--2016-09-25--15-56.log-30,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,-0.2253917191,0.9222298267,1.0632520095,-0.3252988297,-0.1754313126,-0.1114176829,0.2147465162,0.9372741394,-0.6175567376,-0.1444585767,-0.1344984162,0.7085619708,-0.3492166184,0.956849521,0.1615019511,1
dibstudent03--2016-09-25--15-56.log-31,0.4432365413,-0.021879863,0.7812754526,0.5850290413,-0.2189193569,0.9222298267,1.0632520095,-0.045314617,-0.1664957034,-0.1114176829,0.2788614833,0.9372741394,0.0354013416,-0.1444585767,-0.0526622017,0.7085619708,-0.3492166184,0.956849521,0.2106032769,1
dibstudent03--2016-09-25--15-56.log-32,0.2076865051,-0.021879863,-0.7047755645,0.5850290413,-0.2226723008,0.4339927243,1.0632520095,-0.2392763124,-0.1335747622,-0.170929772,0.3429764504,0.9372741394,0.0354013416,-0.1444585767,-0.1469955721,0.7085619708,-0.3492166184,-0.0967670454,0.2597046027,1
dibstudent03--2016-09-25--15-56.log-33,-0.0278635311,-0.021879863,-0.7047755645,0.5850290413,-0.219487336,0.4339927243,1.0632520095,3.4713214847,-0.1174610895,-0.170929772,0.4070914175,0.9372741394,0.0354013416,-0.1444585767,-0.1405454272,0.7085619708,-0.3492166184,0.956849521,0.3088059285,1
dibstudent03--2016-09-25--15-56.log-34,-0.2634135673,-0.021879863,-0.2094252255,0.5850290413,-0.3089743882,0.6784076779,1.0632520095,-0.2937134972,0.2209116405,0.0274438583,0.4712063845,-1.1869082721,0.3618803812,2.5205420849,-0.0401650458,1.7007660802,0.1428393326,-1.1503836119,0.3579072543,1
dibstudent03--2016-09-25--15-56.log-35,-0.4989636035,-0.021879863,-0.2094252255,0.5850290413,-0.3046483806,1.1831862053,1.0632520095,-0.229155129,0.2326085467,-0.1808484535,0.5353213516,-1.1869082721,-0.291077698,0.3539618767,-0.0462120567,0.7085619708,-0.3492166184,-1.1503836119,0.4070085801,0
